,country,year,region,protest,protestnumber,startday,startmonth,startyear,endday,endmonth,endyear,protesterviolence,location,participants,protesteridentity,sources,notes,final,ignore,crowd dispersal,arrests,accomodation,shootings,beatings,killings,"political behavior, process",labor wage dispute,"price increases, tax policy",removal of politician,police brutality,land farm issue,social restrictions
8287,Cape Verde,2005,Africa,1,1,16.0,3.0,2005.0,16.0,3.0,2005.0,1.0,Praia,500,immigrants,"police, immigrants clash in cape verde xinhua general news service, march 16, 2005 wednesday 3:30 pm est, world news; science & technology, 174 words ;",immigrants protesting violence committed against them and asking the state for increased security protections.,crowd dispersal,0,1,0,0,0,0,0,1,0,0,0,0,0,0
8288,Cape Verde,2005,Africa,1,2,19.0,3.0,2005.0,19.0,3.0,2005.0,0.0,Praia,500,movement for democracy mpd,"demonstrators in cape verde march against crime wave agence france presse english, march 19, 2005 saturday 9:38 pm gmt, 255 words;",protests organized by main opposition party against rising crime and drugs.,ignore,1,0,0,0,0,0,0,1,0,0,0,0,0,0
8308,Guinea-Bissau,1994,Africa,1,1,4.0,1.0,1994.0,4.0,1.0,1994.0,0.0,Bissau,Thousands,supporters of rebuild and develop party prd,"1. trial begins for opposition leader accused of treason. associated press worldstream. january 04, 1994 , tuesday : 381 words. 2. opposition leader acquitted of treason eds: adds possible motive in 15th g. associated press worldstream. february 04, 1994 , friday : 535 words.;","thousands of demonstrators protested political repression in this west african nation as the treason trial of opposition leader and presidential candidate joao de costa opened tuesday. the protestors called for the release of de costa and his 11 co defendants, most of whom are members of de costa s reformist rebuild and develop party prd . they are accused of attempting to overthrown the government of president joao bernardo vieira.",ignore,1,0,0,1,0,0,0,1,0,0,0,0,0,0
8313,Guinea-Bissau,1999,Africa,1,1,3.0,11.0,1999.0,3.0,11.0,1999.0,0.0,Bissau,170,soldiers,"army protest in guinea bissau causes unease ahead of elections associated press international, november 04, 1999; thursday, international news, 302 words;",soldiers and other troops protested failure to pay for soap and other minor items. correction form correcting the date,accomodation,0,0,0,1,0,0,0,0,1,0,0,0,0,0
8314,Guinea-Bissau,1999,Africa,1,2,28.0,11.0,1999.0,28.0,11.0,1999.0,1.0,"Chapa de Bissau, Mindara",50+,youths,"guinea bissau elections tainted by rioting, uprising fears the associated press, november 28, 1999, sunday, am cycle, international news, 643 words, by glenn mckenzie, associated press writer;",? angry youths burned down polling stations and barricaded streets when election officials and materials failed to arrive? ?,crowd dispersal,0,1,0,0,0,0,0,1,0,0,0,0,0,0
8315,Guinea-Bissau,1999,Africa,1,3,8.0,12.0,1999.0,8.0,12.0,1999.0,0.0,Bissau,100s,soldiers,"soldiers in guinea bissau stage street protest over unpaid wages associated press international, december 8, 1999; wednesday, international news, 249 words;",army protests over unpaid wages,ignore,1,0,0,0,0,0,0,0,1,0,0,0,0,0
8317,Guinea-Bissau,2001,Africa,1,1,12.0,2.0,2001.0,12.0,2.0,2001.0,1.0,Bissau,50+,students,"guinea bissau govt to pay teachers after bloody protest agence france presse english, 267 words guinea bissau s president sacks prime minister agence france presse english, 445 words, allen yero embalo;",students protest over continuing teacher strike over unpaid wages. students protesting in support of teachers.,crowd dispersal,0,1,1,1,1,0,0,0,1,0,0,0,0,0
8318,Guinea-Bissau,2001,Africa,1,2,9.0,11.0,2001.0,9.0,11.0,2001.0,0.0,Bissau,5000,guinean league of human rights and the national union of workers of guinea,"gbissau rights, workers groups condemn kumba yala s attitude agence france presse english, 345 words;",mass protest over corruption and a move towards dictatorship in the country.,ignore,1,0,0,0,0,0,0,1,0,0,0,0,0,0
8319,Guinea-Bissau,2001,Africa,1,3,21.0,11.0,2001.0,21.0,11.0,2001.0,0.0,Bissau,10000,coalition of ten opposition parties,"opposition calls for gbissau president to step down agence france presse english, 230 words;",we defend the separation of power and the independence of the legislature. also called for the release of former head of the supreme court.,ignore,1,0,0,0,0,0,0,1,0,0,0,0,0,0
8322,Guinea-Bissau,2004,Africa,1,1,4.0,3.0,2004.0,4.0,3.0,2004.0,1.0,Bissau,2000,students and school children,"guinea bissau armed forces break up student demo: one killed agence france presse english english, 337 words;",students protested the loss of an entire academic year due to the teachers strike.,crowd dispersal,0,1,1,0,1,0,1,0,1,0,0,0,0,0
8323,Guinea-Bissau,2004,Africa,1,2,6.0,10.0,2004.0,10.0,10.0,2004.0,1.0,Bissau,100s,soldiers,"unruly guinea bissau troops mount pay protest, two officers killed agence france presse english, october 6, 2004 wednesday 9:30 pm gmt, 644 words unruly guinea bissau troops return to barracks as talks start agence france presse english, october 6, 2004 wednesday 4:10 pm gmt, 590 words xinhua world news summary at 0800 gmt, oct. 8 xinhua general news service, october 8, 2004 friday 5:00 am est, world news; political, 444 words xinhua world news summary at 1530 gmt, oct. 11 xinhua general news service, october 11, 2004 monday 12:00 pm est, world news; political, 384 words ;","soldiers who had been deployed to libya are protesting over the lack of pay. protests bordering on rebellion. however, the aim was payment of past wages rather than overthrowing the government.",accomodation,0,0,0,1,0,0,0,0,1,0,0,0,0,0
8324,Guinea-Bissau,2005,Africa,1,1,17.0,5.0,2005.0,17.0,5.0,2005.0,0.0,Bissau,300,pro yala supporters,"schoolkids for peace in guinea bissau as president pleads for calm agence france presse english, may 17, 2005 tuesday 7:45 pm gmt, 487 words guinea bissau president warns of possible chaos as political tensions rise associated press international, may 17, 2005 tuesday, international news, 408 words, assimo balde; associated press writer election date firm for gbissau, pm says, as yala fans prepare new rally agence france presse english, may 18, 2005 wednesday 5:57 pm gmt, 572 words;",protesters came out in support of kumba yala who declared he had been removed from power illegally.,crowd dispersal,0,1,1,0,0,0,0,1,0,0,0,0,0,0
8325,Guinea-Bissau,2005,Africa,1,2,17.0,5.0,2005.0,17.0,5.0,2005.0,0.0,Bissau,5000,students and teachers,"schoolkids for peace in guinea bissau as president pleads for calm agence france presse english, may 17, 2005 tuesday 7:45 pm gmt, 487 words;",protest by students and teachers against kumba yala who was cleared by the supreme court to run for office despite a five year ban on his involvement in politics.,ignore,1,0,0,0,0,0,0,1,0,0,0,0,0,0
8326,Guinea-Bissau,2005,Africa,1,3,22.0,5.0,2005.0,22.0,5.0,2005.0,1.0,Bissau,1000s,pro yala supporters,"supporters of guinea bissau s ousted leader protest in capital us fed news, may 22, 2005 sunday 2:17 pm est, 655 words, us fed news;",thousands came out in support of yala armed with weapons. no information on how the government responded. it was also clear that the protesters gathered together for the demonstration but no information on how the demonstration proceeded.,ignore,1,0,0,0,0,0,0,1,0,0,0,0,0,0
8327,Guinea-Bissau,2005,Africa,1,4,25.0,5.0,2005.0,25.0,5.0,2005.0,1.0,Bissau,100s,protesters,"gbissau ex president occupies palace as eu observers arrive ahead of vote agence france presse english, may 25, 2005 wednesday 4:31 pm gmt, 576 words;",this protest occurred in between the 3rd and 4th protest coded already which is why it is labelled 3.1 deposed president kumba yala temporarily seized power with the help of the military claiming that he was the rightful president. in response a number of protesters came out against yala and called for his removal from power.,crowd dispersal,0,1,0,0,0,0,0,1,0,0,0,0,0,0
8328,Guinea-Bissau,2005,Africa,1,5,24.0,6.0,2005.0,24.0,6.0,2005.0,1.0,Bissau,100s,pro yala supporters,"guinea bissau police, protesters clash over election results, one dead ap worldstream, june 24, 2005 friday, international news, 176 words, assimo balde; associated press writer west african bloc condemns post poll violence in guinea bissau agence france presse english, june 25, 2005 saturday 3:23 pm gmt, 276 words;",protesting the election result as supporters of yala argued the election results were falsified,shootings,0,1,0,0,1,0,1,1,0,0,0,0,0,0
8329,Guinea-Bissau,2005,Africa,1,6,28.0,7.0,2005.0,28.0,7.0,2005.0,1.0,Bissau,1000s,protesters,"vieira vows change after poll figures make him next president in gbissau agence france presse english, july 28, 2005 thursday 5:41 pm gmt, 551 words vieira with commanding lead in guinea bissau presidential poll agence france presse english, july 28, 2005 thursday 11:33 am gmt, 216 words;",protests after second round of election as losing candidate claims polls were falsified,crowd dispersal,0,1,0,0,0,0,0,1,0,0,0,0,0,0
8334,Guinea-Bissau,2010,Africa,1,1,1.0,4.0,2010.0,1.0,4.0,2010.0,0.0,Bissau,100s,protesters,"guinea bissau soldiers arrest pm in coup bid canwest news service, april 1, 2010 thursday 03:53 pm est, 698 words roundup: guinea bissau pm briefly detained in renewed coup fears xinhua general news service, april 1, 2010 thursday 11:10 am est, world news; political, 438 words;",this is replacing guinea bissau 2010 which was previously coded as having no protests occur during the year. soldiers temporarily seize parliament and arrest the prime minister. in response citizens came out to protest for the release of the prime minister,ignore,1,0,0,0,0,0,0,1,0,0,0,0,0,0
8335,Guinea-Bissau,2011,Africa,1,1,11.0,5.0,2011.0,11.0,5.0,2011.0,0.0,Bissau,50,consumers,"g.bissau consumer groups protest high food prices agence france presse english, may 11, 2011 wednesday 4:48 pm gmt, 250 words ;",consumer groups protest high cost of food and taxes on food.,ignore,1,0,0,0,0,0,0,0,0,1,0,0,0,0
8336,Guinea-Bissau,2011,Africa,1,2,14.0,7.0,2011.0,14.0,7.0,2011.0,0.0,Bissau,1000s,protesters,"thousands protest against guinea bissau government agence france presse english, july 14, 2011 thursday 5:22 pm gmt, 281 words g.bissau pm open to debate calls he resign agence france presse english, july 28, 2011 thursday 5:38 pm gmt, 336 words;",thousands protest against high prices and calling for the pm to stand down. the president met with protesters on the 26th.,accomodation,0,0,0,1,0,0,0,0,0,1,1,0,0,0
8337,Guinea-Bissau,2011,Africa,1,3,19.0,7.0,2011.0,19.0,7.0,2011.0,0.0,Bissau,1000s,protesters,"thousands protest against guinea bissau pm agence france presse english, july 19, 2011 tuesday 4:40 pm gmt, 283 words g.bissau pm open to debate calls he resign agence france presse english, july 28, 2011 thursday 5:38 pm gmt, 336 words;",protesters calling for the removal of the pm. the president met with protesters on the 26th.,accomodation,0,0,0,1,0,0,0,0,0,0,1,0,0,0
8338,Guinea-Bissau,2011,Africa,1,4,5.0,8.0,2011.0,5.0,8.0,2011.0,0.0,Bissau,1000s,opposition parties,"thousands demand guinea bissau pm resign agence france presse english, august 5, 2011 friday 4:30 pm gmt, 318 words ;",thousands calling for the resignation of the pm.,ignore,1,0,0,0,0,0,0,0,0,0,1,0,0,0
8339,Guinea-Bissau,2011,Africa,1,5,26.0,12.0,2011.0,26.0,12.0,2011.0,0.0,Bissau,100s,armed troops,"armed soldiers hold pay protest in guinea bissau s capital agence france presse english, december 26, 2011 monday 1:07 pm gmt, 311 words;",armed troops held a protest calling for an increase in their pay.,ignore,1,0,0,0,0,0,0,0,1,0,0,0,0,0
8340,Guinea-Bissau,2012,Africa,1,1,21.0,2.0,2012.0,21.0,2.0,2012.0,1.0,Bissau,100s,young activists,"g.bissau police mistakenly tear gas army agence france presse english, february 21, 2012 tuesday 4:38 pm gmt, 314 words ;",young activists protesting demanding their names be put on the ballot for the presidential election.,crowd dispersal,0,1,0,0,0,0,0,1,0,0,0,0,0,0
8341,Guinea-Bissau,2013,Africa,1,1,8.0,10.0,2013.0,8.0,10.0,2013.0,1.0,Bissau,100s,protesters,"tensions high in guinea bissau after boy kidnapped agence france presse english, october 8, 2013 tuesday 2:39 pm gmt, 202 words;",? protests against the alleged protection of the suspected nigerian kidnappers by the police.? ?,crowd dispersal,0,1,0,0,0,0,0,1,0,0,0,0,0,0
8344,Guinea-Bissau,2016,Africa,1,1,26.0,5.0,2016.0,26.0,5.0,2016.0,1.0,Bissau,50+,african party for the independence of guinea and cape verde,"president of crisis hit guinea bissau names baciro dja as new pm agence france presse english, may 26, 2016 thursday 9:11 pm gmt, 102 words president of crisis hit guinea bissau names new pm, triggering protests agence france presse english, may 27, 2016 friday 12:42 am gmt, 524 words;","two weeks after sacking the entire government, the president of guinea bissau on thursday named baciro dja as the west african country s new prime minister in a bid to overcome a months long political crisis. dja s appointment, announced by presidential decree, triggered immediate protests however, with supporters of the ruling african party for the independence of guinea and cape verde paigc burning tyres near the presidential palace, an afp reporter saw. riot police deployed to provide extra security dispersed dozens of stone throwing protestors with tear gas, and threaten, in the words of one of their commanders, to shoot anyone who crosses the palace gates .",crowd dispersal,0,1,0,0,0,0,0,0,0,0,1,0,0,0
8345,Guinea-Bissau,2017,Africa,1,1,2.0,3.0,2017.0,2.0,3.0,2017.0,0.0,Bissau,100s,anti government protestors,"hundreds of protesters demand departure of guinea bissau president iranian government news, march 8, 2017 wednesday, 278 words;","hundreds of protesters have marched through the capital of guinea bissau, demanding the departure of embattled president jose mario vaz. on thursday, the crowd of angry demonstrators on the main avenues of the capital bissau held anti government placards and repeatedly chanted slogans such as jomav get out , using the president s local nickname. they also called for fresh elections to end the political crisis gripping the african country.",ignore,1,0,0,0,0,0,0,1,0,0,1,0,0,0
