,country,year,region,protest,protestnumber,startday,startmonth,startyear,endday,endmonth,endyear,protesterviolence,location,participants,protesteridentity,sources,notes,final,ignore,crowd dispersal,arrests,accomodation,shootings,beatings,killings,"political behavior, process",labor wage dispute,"price increases, tax policy",removal of politician,police brutality,land farm issue,social restrictions
13648,Afghanistan,1991,Asia,1,1,28.0,5.0,1991.0,28.0,5.0,1991.0,0.0,Herat,2000,,"bbc summary of world broadcasts, may 28, 1991;",against government bombings,arrests,0,0,1,0,0,0,0,0,0,0,0,1,0,0
13654,Afghanistan,1997,Asia,1,1,23.0,12.0,1997.0,23.0,12.0,1997.0,0.0,Khandahar,2000,taliban supporters,"bbc summary of world broadcasts, december 23, 1997;",against mass killings of taliban by government forces,ignore,1,0,0,0,0,0,0,0,0,0,0,1,0,0
13655,Afghanistan,1998,Asia,1,1,2.0,3.0,1998.0,2.0,3.0,1998.0,0.0,Bamyan,2000,,"bbc monitoring central asia unit, february 3, 1998;",against factions fighting impacting normal life,ignore,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13659,Afghanistan,2002,Asia,1,1,11.0,11.0,2002.0,12.0,11.0,2002.0,1.0,Kabul,200,students,"the advertiser, november 13, 2002;",living conditions,crowd dispersal,0,1,1,0,0,0,0,1,0,0,0,0,0,0
13662,Afghanistan,2005,Asia,1,1,5.0,5.0,2005.0,5.0,5.0,2005.0,0.0,Kabul,200,womens groups,"bbc monitoring south asia, may 6, 2005;",women against killings of women,ignore,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13663,Afghanistan,2005,Asia,1,2,31.0,10.0,2005.0,31.0,10.0,2005.0,0.0,Kabul,200,national islamic front of afghanistan candidates and supporters,"bbc monitoring south asia, october 31, 2005;",electoral fraud,ignore,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13669,Afghanistan,2011,Asia,1,1,25.0,1.0,2011.0,26.0,1.0,2011.0,0.0,Presidential palace in Kabul,100,,"after months of turmoil, karzai opens parliament the new york times, january 27, 2011 thursday, section ; column 0; national desk; pg. , 1057 words, by ray rivera; alissa j. rubin, sangar rahimi, and ruhullah khapalwak contributed reporting.;",100 losing candidates in the recent election staged a protest by sleeping in the reception room of the presidential palace. many of the losing candidates are said to have staged protests in recent weeks against what they see as a fraudulent election. the president met with these losers on the 25th.,accomodation,0,0,0,1,0,0,0,1,0,0,0,0,0,0
13670,Afghanistan,2011,Asia,1,2,5.0,5.0,2011.0,5.0,5.0,2011.0,0.0,Kabul,10000,,"thousands of afghans rally in kabul to reject any peace with taliban the new york times, may 6, 2011 friday, section a; column 0; foreign desk; pg. 15, 854 words, by alissa j. rubin;",note that there have been a string of protests against the burning of a koran in the u.s. but this does not qualify as a protest under our coding scheme.,ignore,1,0,0,0,0,0,0,1,0,0,0,0,0,0
13671,Afghanistan,2011,Asia,1,3,19.0,5.0,2011.0,19.0,5.0,2011.0,1.0,Taliqan,100s,protesters,"insurgents kill at least 35 in attack on an afghan road crew. the new york times, may 20, 2011 friday, section a; column 0; foreign desk; pg. 8, by ray rivera and sangar rahimi; sharifullah sahak.;","after a dozen people were killed in protests on wednesday in taliqan, hundreds more protesters attacked the police headquarters on thursday. they set fire to offices before being pushed back by police officers, said shah jahan noori, the police chief of takhar province.",crowd dispersal,0,1,0,0,0,0,0,0,0,0,0,1,0,0
13672,Afghanistan,2011,Asia,1,4,19.0,11.0,2011.0,19.0,11.0,2011.0,0.0,Eastern Afghanistan,100s,,"afghanistan loya jirga endorses lingering us presense, but in what form?; in the wake of the latest afghanistan loya jirga, the challenge will be finding a way to make a strategic bilateral partnership mutually agreeable to both afghans and the us. the christian science monitor, november 20, 2011 sunday, 611 words, tom a. peter correspondent the washington post, november 20, 2011 sunday, a section; pg. a12, 790 words;",not clear where in afghanistan this protest took place as the article just mentions eastern afghanistan. also note that there have been a number of protests aimed either at nato or against the u.s. this year which do not meet our coding guidelines.,ignore,1,0,0,0,0,0,0,1,0,0,0,0,0,0
13673,Afghanistan,2012,Asia,1,1,5.0,2.0,2012.0,5.0,2.0,2012.0,1.0,Sari Pul Province,1500,,"afghan suicide attack targets police in kandahar the new york times, february 6, 2012 monday, section a; column 0; foreign desk; pg. 4, 634 words, by taimor shah and alissa j. rubin; taimor shah reported from kandahar, afghanistan, and alissa j. rubin from kabul. enayatullah najafizada contributed reporting from mazar e sharif. ;",information about the protest comes at the end of the article and seems a bit out of place. no other articles mention this protest.,shootings,0,0,0,0,1,0,0,0,0,0,1,0,0,0
13674,Afghanistan,2013,Asia,1,1,8.0,5.0,2013.0,8.0,5.0,2013.0,0.0,Maiwand,100s,,"world digest: may 8, 2013 the washington post, may 9, 2013 thursday, a section; pg. a08, 690 words;","hundreds protested a recent raid by afghan and nato forces. this article specifically states that the protesters were angry at afghan forces. while there have been a number of protests against nato raids, most articles say that protests were aimed at either the us or nato.",shootings,0,0,0,0,1,0,1,0,0,0,0,1,0,0
13675,Afghanistan,2014,Asia,1,1,19.0,6.0,2014.0,19.0,6.0,2014.0,0.0,Kabul,300,university students,"candidate says he can t trust officials tally of afghan vote. the new york times, june 20, 2014 friday, section a; column 0; foreign desk; pg. 4, by azam ahmed; jawad sukhanyar, haris kakar and ahmad shekib contributed reporting.;","protesting over alleged election fraud. the protest in kabul on thursday, while peaceful, was charged with the sort of speech that has prompted some companies that employ expats in the capital to consider evacuating the country. death to fraud, death to fraudsters, shouted a phalanx of roughly 300 university students in front of zarnegar park in downtown kabul on thursday afternoon. the young men promised to remain in place until their demands, which largely hewed to mr. abdullah s, were met...",ignore,1,0,0,0,0,0,0,1,0,0,0,0,0,0
13676,Afghanistan,2014,Asia,1,2,20.0,6.0,2014.0,20.0,6.0,2014.0,0.0,Kabul,100s,protesters,"afghan leader backs u.n. election role. the new york times, june 21, 2014 saturday, section a; column 0; foreign desk; pg. 11, by azam ahmed; haris kakar and ahmad shakib contributed reporting.;","protesting over alleged election fraud. unclear if the tents are from the university students in protest 1 who promised to stay in place; article does not provide any details linking protests 1 & 2 together. the prospect of street protests by mr. abdullah s supporters remained on friday, with at least one major road blocked by large tents and several hundred protesters?",ignore,1,0,0,0,0,0,0,1,0,0,0,0,0,0
13677,Afghanistan,2014,Asia,1,3,21.0,6.0,2014.0,21.0,6.0,2014.0,0.0,Kabul,1000s,"protesters, supporters of abdullah abdullah","ballot counting continues as some afghans protest. the new york times, june 22, 2014 sunday, section a; column 0; foreign desk; pg. 11, by azam ahmed; ahmad shakib, haris kakar and jawad sukhanyar contributed reporting.;","protesting over alleged election fraud. protesters demonstrated across kabul, blocking streets in parts of the city and demanding that the government address their accusations of ballot stuffing...several demonstrations were organized across the city but none exceeded 1,500 people, despite whispers that tens of thousands might turn up. indeed, most drew fewer than 500 men...the protests were largely peaceful...",ignore,1,0,0,0,0,0,0,1,0,0,0,0,0,0
13678,Afghanistan,2014,Asia,1,4,27.0,6.0,2014.0,27.0,6.0,2014.0,0.0,Kabul,15000,"supporters of the presidential candidate abdullah abdullah, tajiks and hazaras","afghan protesters demand answers to allegations of rigged election. the new york times, june 28, 2014 saturday, section a; column 0; foreign desk; pg. 9, by azam ahmed;","protesting over alleged election fraud. thousands of supporters of the presidential candidate abdullah abdullah poured into the streets of kabul on friday, blocking roads and clogging squares as they demanded that allegations of election fraud be addressed before ending the political crisis that has stratified afghanistan for the last two weeks...as many as 15,000 people crammed into the streets of the capital...the protests again remained nonviolent, and again were largely young males from the country s ethnic tajik and hazara populations...the protests again remained nonviolent, and again were largely young males from the country s ethnic tajik and hazara populations...",ignore,1,0,0,0,0,0,0,1,0,0,0,0,0,0
