country,year,region,protest,protestnumber,startday,startmonth,startyear,endday,endmonth,endyear,protesterviolence,location,participants,protesteridentity,sources,notes,final,ignore,crowd dispersal,arrests,accomodation,shootings,beatings,killings,"political behavior, process",labor wage dispute,"price increases, tax policy",removal of politician,police brutality,land farm issue,social restrictions,climate,natural_resources,population_distribution,net_migration_per_1000_population,age_0_14_percent,age_15_24_percent,age_25_54_percent,age_55_64_percent,age_65_over_percent,language,govt_type,legal_system,gdp_purchasing_power_global_rank,gdp_growth_global_rank,electricity_access_percent,electricity_generating_capacity_global_rank,internet_access_percent,cell_phone_per_100,military_spending_annual_percent_gdp,transnational_disputes
Guatemala,1990,Central America,1,1,2.0,12.0,1990.0,2.0,12.0,1990.0,1.0,Santiago Atitlan,1000s,,"guatemala troops said to kill 11 protesting raid the new york times, december 3, 1990, monday, late edition final, section a; page 7; column 1; foreign desk, 417 words, reuters guatemalan troops fire on protest, 11 killed the toronto star, december 3, 1990, monday, ontario edition, news; pg. a14, 425 words;","troops gunned down at least 11 civilians from this central guatemalan town today after thousands of townspeople marched on a local army compound to protest a military raid, witnesses said. local residents said the army raked a crowd of some 2,000 to 3,000 civilians, mostly of indigenous descent, with machine gun fire after they had marched on the barracks.",0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,"tropical; hot, humid in lowlands; cooler in highlands",petroleum,"the vast majority of the populace resides in the southern half of the country, particularly in the mountainous regions; more than half of the population lives in rural areas",-1.7000000000000002,33.68,19.76,36.45,5.41,4.7,Spanish,presidential republic,civil law system; judicial review of legislative acts,77.0,123.0,91.8,85.0,65.0,123.0,0.4,annual ministerial meetings under the Organization of American States-initiated Agreement on the Framework for Negotiations and Confidence Building Measures continue to address Guatemalan land and maritime claims in Belize and the Caribbean Sea
Guatemala,1991,Central America,1,1,21.0,8.0,1991.0,21.0,8.0,1991.0,0.0,Guatemala City,2000,,"priest and assistant attack protesters united press international, august 21, 1991, wednesday, bc cycle, international, 204 words;",protests against austerity measures.,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,"tropical; hot, humid in lowlands; cooler in highlands",petroleum,"the vast majority of the populace resides in the southern half of the country, particularly in the mountainous regions; more than half of the population lives in rural areas",-1.7000000000000002,33.68,19.76,36.45,5.41,4.7,Spanish,presidential republic,civil law system; judicial review of legislative acts,77.0,123.0,91.8,85.0,65.0,123.0,0.4,annual ministerial meetings under the Organization of American States-initiated Agreement on the Framework for Negotiations and Confidence Building Measures continue to address Guatemalan land and maritime claims in Belize and the Caribbean Sea
Guatemala,1992,Central America,1,1,21.0,7.0,1992.0,21.0,7.0,1992.0,0.0,Guatemala City,300,,"guatemalan minister quits in police row the globe and mail canada , july 24, 1992 friday, 192 words, reut;","article also notes that groups have called for a protest on the 24th, though it is not clear whether these groups actually held the protest.",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"tropical; hot, humid in lowlands; cooler in highlands",petroleum,"the vast majority of the populace resides in the southern half of the country, particularly in the mountainous regions; more than half of the population lives in rural areas",-1.7000000000000002,33.68,19.76,36.45,5.41,4.7,Spanish,presidential republic,civil law system; judicial review of legislative acts,77.0,123.0,91.8,85.0,65.0,123.0,0.4,annual ministerial meetings under the Organization of American States-initiated Agreement on the Framework for Negotiations and Confidence Building Measures continue to address Guatemalan land and maritime claims in Belize and the Caribbean Sea
Guatemala,1993,Central America,1,1,18.0,5.0,1993.0,18.0,5.0,1993.0,1.0,San Carlos University,1000,,"world in brief troops confront students the globe and mail canada , may 21, 1993 friday, 107 words, reut ;","article also discussed two weeks of sporadic protests. a violent protest occurred last week to protest a transport subsidy. this protest was aimed at protesting neo liberal economic policies. not clear what the police response was, but considering protesters clashed with police crowd dispersal seems likely.",0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,"tropical; hot, humid in lowlands; cooler in highlands",petroleum,"the vast majority of the populace resides in the southern half of the country, particularly in the mountainous regions; more than half of the population lives in rural areas",-1.7000000000000002,33.68,19.76,36.45,5.41,4.7,Spanish,presidential republic,civil law system; judicial review of legislative acts,77.0,123.0,91.8,85.0,65.0,123.0,0.4,annual ministerial meetings under the Organization of American States-initiated Agreement on the Framework for Negotiations and Confidence Building Measures continue to address Guatemalan land and maritime claims in Belize and the Caribbean Sea
Guatemala,1993,Central America,1,2,21.0,5.0,1993.0,21.0,5.0,1993.0,0.0,Guatemala City,10000,,"state of siege declared in guatemala the guardian london , may 26, 1993, the guardian foreign page; pg. 9, 559 words, chris taylor ;","protests occurring more frequently, sometimes violently, over economic troubles. in response president serrano ousted the supreme court and congress.",0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,"tropical; hot, humid in lowlands; cooler in highlands",petroleum,"the vast majority of the populace resides in the southern half of the country, particularly in the mountainous regions; more than half of the population lives in rural areas",-1.7000000000000002,33.68,19.76,36.45,5.41,4.7,Spanish,presidential republic,civil law system; judicial review of legislative acts,77.0,123.0,91.8,85.0,65.0,123.0,0.4,annual ministerial meetings under the Organization of American States-initiated Agreement on the Framework for Negotiations and Confidence Building Measures continue to address Guatemalan land and maritime claims in Belize and the Caribbean Sea
Guatemala,1993,Central America,1,3,1.0,6.0,1993.0,1.0,6.0,1993.0,0.0,Guatemala City,100s,,"guatemala president forced out of office the independent london , june 2, 1993, wednesday, international news page; page 12 , 365 words, bill cormier of associated press;","president jorge serrano was removed from office yesterday, a week after declaring one man rule. the defence minister, general jose domingo garcia samayoa, had taken over temporarily, mps and others said...earlier, members of guatemala s abolished congress and the constitutional court were summoned to the national palace amid rumours of serrano s resignation. hundreds of people outside the palace shouted pro democracy slogans as the deputies began to arrive. serrano has fallen, serrano has fallen, they cheered.",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"tropical; hot, humid in lowlands; cooler in highlands",petroleum,"the vast majority of the populace resides in the southern half of the country, particularly in the mountainous regions; more than half of the population lives in rural areas",-1.7000000000000002,33.68,19.76,36.45,5.41,4.7,Spanish,presidential republic,civil law system; judicial review of legislative acts,77.0,123.0,91.8,85.0,65.0,123.0,0.4,annual ministerial meetings under the Organization of American States-initiated Agreement on the Framework for Negotiations and Confidence Building Measures continue to address Guatemalan land and maritime claims in Belize and the Caribbean Sea
Guatemala,1994,Central America,1,1,10.0,11.0,1994.0,10.0,11.0,1994.0,1.0,Guatemala City,1000s,,"news briefs from latin america associated press worldstream, november 11, 1994; friday, international news, 570 words, the associated press riots over fare hike rock capital associated press worldstream, november 11, 1994; friday, international news, 267 words news briefing increase in bus fares sparks protest the globe and mail canada , november 11, 1994 friday, 157 words, reut news in brief: can t pay, won t pay the guardian london , november 12, 1994, the guardian foreign page; pg. 14, 35 words;","note that the first article says there was a 10 day strike over the hike in fares. an april 10th article discusses a month long strike by 200,000 public workers, as well as regular protests by students. however, there is not enough information to code these as protests.",0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,"tropical; hot, humid in lowlands; cooler in highlands",petroleum,"the vast majority of the populace resides in the southern half of the country, particularly in the mountainous regions; more than half of the population lives in rural areas",-1.7000000000000002,33.68,19.76,36.45,5.41,4.7,Spanish,presidential republic,civil law system; judicial review of legislative acts,77.0,123.0,91.8,85.0,65.0,123.0,0.4,annual ministerial meetings under the Organization of American States-initiated Agreement on the Framework for Negotiations and Confidence Building Measures continue to address Guatemalan land and maritime claims in Belize and the Caribbean Sea
Guatemala,1994,Central America,1,2,14.0,11.0,1994.0,14.0,11.0,1994.0,0.0,Guatemala City,1000,,"angry crowd in guatemala turns out for funeral of slain student associated press worldstream, november 14, 1994; monday, international news, 408 words, christena colclough;",protests over police brutality in a protest on friday. article notes that there have been a week of violent protests over the hike in bus fares.,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"tropical; hot, humid in lowlands; cooler in highlands",petroleum,"the vast majority of the populace resides in the southern half of the country, particularly in the mountainous regions; more than half of the population lives in rural areas",-1.7000000000000002,33.68,19.76,36.45,5.41,4.7,Spanish,presidential republic,civil law system; judicial review of legislative acts,77.0,123.0,91.8,85.0,65.0,123.0,0.4,annual ministerial meetings under the Organization of American States-initiated Agreement on the Framework for Negotiations and Confidence Building Measures continue to address Guatemalan land and maritime claims in Belize and the Caribbean Sea
Guatemala,1996,Central America,1,1,30.0,1.0,1996.0,30.0,1.0,1996.0,1.0,Guatemala City,300,,"associated press international, january 31, 1996; wednesday, international news, 497 words, filadelfo aleman;",article also notes that students seized the state communications headquarters in the beginning of january as well as managua? s sandino international airport. there was also a protest last month where some protesters were injured.,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"tropical; hot, humid in lowlands; cooler in highlands",petroleum,"the vast majority of the populace resides in the southern half of the country, particularly in the mountainous regions; more than half of the population lives in rural areas",-1.7000000000000002,33.68,19.76,36.45,5.41,4.7,Spanish,presidential republic,civil law system; judicial review of legislative acts,77.0,123.0,91.8,85.0,65.0,123.0,0.4,annual ministerial meetings under the Organization of American States-initiated Agreement on the Framework for Negotiations and Confidence Building Measures continue to address Guatemalan land and maritime claims in Belize and the Caribbean Sea
Guatemala,1996,Central America,1,2,21.0,5.0,1996.0,21.0,5.0,1996.0,1.0,Guatemala City,100s,,"associated press international, may 21, 1996; tuesday, international news, 600 words, the associated press riot police hold the line in guatemala protest the independent london , may 25, 1996, saturday, international; page 12, 35 words;","union protesters forced congress to suspend debate tuesday over a bill that would suspend the right to strike for essential state workers. the proposal would prohibit strikes by workers in such services as hospitals, police and telecommunications. despite tightened security, dozens of union demonstrators broke police lines and began heckling parliamentarians from the spectator gallery. congress president carlos regas could not restore order and closed congress. others protesters marched to the constitutional court, guatemala s highest, to present a legal complaint against the proposed bill.",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"tropical; hot, humid in lowlands; cooler in highlands",petroleum,"the vast majority of the populace resides in the southern half of the country, particularly in the mountainous regions; more than half of the population lives in rural areas",-1.7000000000000002,33.68,19.76,36.45,5.41,4.7,Spanish,presidential republic,civil law system; judicial review of legislative acts,77.0,123.0,91.8,85.0,65.0,123.0,0.4,annual ministerial meetings under the Organization of American States-initiated Agreement on the Framework for Negotiations and Confidence Building Measures continue to address Guatemalan land and maritime claims in Belize and the Caribbean Sea
