country,climate,natural_resources,population_distribution,net_migration_per_1000_population,age_0_14_percent,age_15_24_percent,age_25_54_percent,age_55_64_percent,age_65_over_percent,language,govt_type,legal_system,gdp_purchasing_power_global_rank,gdp_growth_global_rank,electricity_access_percent,electricity_generating_capacity_global_rank,internet_access_percent,cell_phone_per_100,military_spending_annual,transnational_disputes
Afghanistan,arid to semiarid; cold winters and hot summers,"['natural gas', 'petroleum', 'coal', 'copper', 'chromite', 'talc', 'barites', 'sulfur', 'lead', 'zinc', 'iron ore', 'salt', 'precious', 'semiprecious stones', 'arable land']","populations tend to cluster in the foothills and periphery of the rugged Hindu Kush range; smaller groups are found in many of the country's interior valleys; in general, the east is more densely settled, while the south is sparsely populated",-0.1,40.62,21.26,31.44,4.01,2.68,"[{'name': 'Afghan Persian or Dari', 'percent': 77, 'note': 'official; Dari functions as the lingua franca'}, {'name': 'Pashto', 'percent': 48, 'note': 'official'}, {'name': 'Uzbek', 'percent': 11}, {'name': 'English', 'percent': 6}, {'name': 'Turkmen', 'percent': 3}, {'name': 'Urdu', 'percent': 3}, {'name': 'Pashayi', 'percent': 1}, {'name': 'Nuristani', 'percent': 1}, {'name': 'Arabic', 'percent': 1}, {'name': 'Balochi', 'percent': 1}]",presidential Islamic republic,"mixed legal system of civil, customary, and Islamic (sharia) law",101.0,124.0,84.1,138.0,13.5,63.0,"[{'value': 1.2, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 1, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 0.9, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 1, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 1, 'units': 'percent_of_gdp', 'date': '2015'}]","['Afghan, Coalition, and Pakistan military meet periodically to clarify the alignment of the boundary on the ground and on maps and since 2014 have met to discuss collaboration on the Taliban insurgency and counterterrorism efforts', 'Afghan and Iranian commissioners have discussed boundary monument densification and resurvey', ""Iran protests Afghanistan's restricting flow of dammed Helmand River tributaries during drought"", 'Pakistan has sent troops across and built fences along some remote tribal areas of its treaty-defined Durand Line border with Afghanistan which serve as bases for foreign terrorists and other illegal activities', 'Russia remains concerned about the smuggling of poppy derivatives from Afghanistan through Central Asian countries']"
Akrotiri,"temperate; Mediterranean with hot, dry summers and cool winters",,,,,,,,,"[{'name': 'English'}, {'name': 'Greek'}]",,"laws applicable to the Cypriot population are, as far as possible, the same as the laws of the Republic of Cyprus; note - the Sovereign Base Area Administration has its own court system to deal with civil and criminal matters",,,,,,,,
Albania,"mild temperate; cool, cloudy, wet winters; hot, clear, dry summers; interior is cooler and wetter","['petroleum', 'natural gas', 'coal', 'bauxite', 'chromite', 'copper', 'iron ore', 'nickel', 'salt', 'timber', 'hydropower', 'arable land']","a fairly even distribution, with somewhat higher concentrations of people in the western and central parts of the country",-3.3,17.6,15.39,42.04,11.94,13.03,"[{'name': 'Albanian', 'percent': 98.8, 'note': 'official - derived from Tosk dialect'}, {'name': 'Greek', 'percent': 0.5}, {'name': 'other', 'percent': 0.6000000000000001, 'note': 'including Macedonian, Romani, Vlach, Turkish, Italian, and Serbo-Croatian'}, {'name': 'unspecified', 'percent': 0.1}]",parliamentary republic,"civil law system except in the northern rural areas where customary law known as the ""Code of Leke"" is still present",125.0,85.0,100.0,112.0,71.85,89.0,"[{'value': 1.3, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 1.2, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 1.1, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 1.1, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 1.2, 'units': 'percent_of_gdp', 'date': '2015'}]",['none']
Algeria,"arid to semiarid; mild, wet winters with hot, dry summers along coast; drier with cold winters and hot summers on high plateau; sirocco is a hot, dust/sand-laden wind especially common in summer","['petroleum', 'natural gas', 'iron ore', 'phosphates', 'uranium', 'lead', 'zinc']",the vast majority of the populace is found in the extreme northern part of the country along the Mediterranean Coast,-0.9,29.58,13.93,42.91,7.41,6.17,"[{'name': 'Arabic', 'note': 'official'}, {'name': 'French', 'note': 'lingua franca'}, {'name': 'Berber or Tamazight ; dialects include Kabyle Berber', 'note': 'official; Taqbaylit'}, {'name': 'Shawiya Berber', 'note': 'Tacawit'}, {'name': 'Mzab Berber'}, {'name': 'Tuareg Berber', 'note': 'Tamahaq'}]",presidential republic,mixed legal system of French civil law and Islamic law; judicial review of legislative acts in ad hoc Constitutional Council composed of various public officials including several Supreme Court justices,36.0,174.0,99.4,45.0,59.58,113.0,"[{'value': 6, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 5.5, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 5.8100000000000005, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 6.55, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 6.32, 'units': 'percent_of_gdp', 'date': '2015'}]","['Algeria and many other states reject Moroccan administration of Western Sahara', 'the Polisario Front, exiled in Algeria, represents the ""Sahrawi Arab Democratic Republic"" which Algeria recognizes', 'the Algerian-Moroccan land border remains closed', ""dormant disputes include Libyan claims of about 32,000 sq km of southeastern Algeria and the National Liberation Front's (FLN) assertions of a claim to Chirac Pastures in southeastern Morocco.""]"
American Samoa,"tropical marine, moderated by southeast trade winds; annual rainfall averages about 3 m; rainy season (November to April), dry season (May to October); little seasonal temperature variation","['pumice', 'pumicite']",,-26.1,27.76,18.16,37.49,9.69,6.9,"[{'name': 'Samoan', 'percent': 88.6, 'note': 'closely related to Hawaiian and other Polynesian languages'}, {'name': 'English', 'percent': 3.9}, {'name': 'Tongan', 'percent': 2.7}, {'name': 'other Pacific islander', 'percent': 3}, {'name': 'other', 'percent': 1.8}]","republican form of government with separate executive, legislative, and judicial branches; unincorporated unorganized territory of the US with local self-government",mixed legal system of US common law and customary law,209.0,208.0,59.0,195.0,31.3,,,"[""Tokelau included American Samoa's Swains Island (Olosega) in its 2006 draft independence constitution""]"
Andorra,"temperate; snowy, cold winters and warm, dry summers","['hydropower', 'mineral water', 'timber', 'iron ore', 'lead']",population is unevenly distributed and is concentrated in the seven urbanized valleys that make up the country's parishes (political administrative divisions),0.0,13.37,10.16,43.19,15.91,17.36,"[{'name': 'Catalan', 'note': 'official'}, {'name': 'French'}, {'name': 'Castilian'}, {'name': 'Portuguese'}]","parliamentary democracy (since March 1993) that retains its chiefs of state in the form of a co-principality; the two princes are the President of France and Bishop of Seu d'Urgell, Spain",mixed legal system of civil and customary law with the influence of canon (religious) law,186.0,203.0,100.0,147.0,91.57,96.0,,['none']
Angola,"semiarid in south and along coast to Luanda; north has cool, dry season (May to October) and hot, rainy season (November to April)","['petroleum', 'diamonds', 'iron ore', 'phosphates', 'copper', 'feldspar', 'gold', 'bauxite', 'uranium']","most people live in the western half of the country; urban areas account for the highest concentrations of people, particularly the capital of Luanda",-0.2,47.83,18.64,27.8,3.43,2.3,"[{'name': 'Portuguese', 'percent': 71.2, 'note': 'official'}, {'name': 'Umbundu', 'percent': 23}, {'name': 'Kikongo', 'percent': 8.2}, {'name': 'Kimbundu', 'percent': 7.8}, {'name': 'Chokwe', 'percent': 6.5}, {'name': 'Nhaneca', 'percent': 3.4}, {'name': 'Nganguela', 'percent': 3.1}, {'name': 'Fiote', 'percent': 2.4}, {'name': 'Kwanhama', 'percent': 2.3}, {'name': 'Muhumbi', 'percent': 2.1}, {'name': 'Luvale', 'percent': 1}, {'name': 'other', 'percent': 3.6}]",presidential republic,civil legal system based on Portuguese civil law; no judicial review of legislation,65.0,209.0,40.5,103.0,14.34,44.0,"[{'value': 1.6, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 1.78, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 2.42, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 2.95, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 3.52, 'units': 'percent_of_gdp', 'date': '2015'}]",['Democratic Republic of Congo accuses Angola of shifting monuments']
Anguilla,tropical; moderated by northeast trade winds,"['salt', 'fish', 'lobster']","most of the population is concentrated in The Valley in the center of the island; settlmement is fairly uniform in the southwest, but rather sparce in the northeast",11.1,21.63,13.9,42.27,12.42,9.78,"[{'name': 'English', 'note': 'official'}]",parliamentary democracy (House of Assembly); self-governing overseas territory of the UK,common law based on the English model,222.0,220.0,,,81.6,158.0,,['none']
Antarctica,"the coldest, windiest, and driest continent on Earth; severe low temperatures vary with latitude, elevation, and distance from the ocean; East Antarctica is colder than West Antarctica because of its higher elevation; Antarctic Peninsula has the most moderate climate; higher temperatures occur in January along the coast and average slightly below freezing; summers characterized by continuous daylight, while winters bring continous darkness; persistent high pressure over the interior brings dry, subsiding air that results in very little cloud cover","['iron ore', 'chromium', 'copper', 'gold', 'nickel', 'platinum', 'other minerals', 'coal', 'hydrocarbons have been found in small noncommercial quantities; mineral exploitation except for scientific research is banned by the Environmental Protocol to the Antarctic Treaty; krill', 'icefish', 'toothfish', 'crab', 'which are managed through the Commission for the Conservation of Antarctic Living Marine Resources', 'CCAMLR']",,,,,,,,None,"Antarctic Treaty Summary - the Antarctic region is governed by a system known as the Antarctic Treaty system; the system includes: 1. the Antarctic Treaty, signed on 1 December 1959 and entered into force on 23 June 1961, which establishes the legal framework for the management of Antarctica, 2. Measures, Decisions, and Resolutions adopted at Antarctic Treaty Consultative Meetings, 3. The Convention for the Conservation of Antarctic Seals (1972), 4. The Convention for the Conservation of Antarctic Marine Living Resources (1980), and 5. The Protocol on Environmental Protection to the Antarctic Treaty (1991); the Antarctic Treaty Consultative Meetings operate by consensus (not by vote) of all consultative parties at annual Treaty meetings; by January 2016, there were 53 treaty member nations: 29 consultative and 24 non-consultative; consultative (decision-making) members include the seven nations that claim portions of Antarctica as national territory (some claims overlap) and 22 non-claimant nations; the US and Russia have reserved the right to make claims; the US does not recognize the claims of others; Antarctica is administered through meetings of the consultative member nations; measures adopted at these meetings are carried out by these member nations (with respect to their own nationals and operations) in accordance with their own national laws; the years in parentheses indicate when a consultative member-nation acceded to the Treaty and when it was accepted as a consultative member, while no date indicates the country was an original 1959 treaty signatory; claimant nations are - Argentina, Australia, Chile, France, NZ, Norway, and the UK; nonclaimant consultative nations are - Belgium, Brazil (1975/1983), Bulgaria (1978/1998), China (1983/1985), Czech Republic (1962/2014), Ecuador (1987/1990), Finland (1984/1989), Germany (1979/1981), India (1983/1983), Italy (1981/1987), Japan, South Korea (1986/1989), Netherlands (1967/1990), Peru (1981/1989), Poland (1961/1977), Russia, South Africa, Spain (1982/1988), Sweden (1984/1988), Ukraine (1992/2004), Uruguay (1980/1985), and the US; non-consultative members, with year of accession in parentheses, are - Austria (1987), Belarus (2006), Canada (1988), Colombia (1989), Cuba (1984), Denmark (1965), Estonia (2001), Greece (1987), Guatemala (1991), Hungary (1984), Iceland (2015), Kazakhstan (2015), North Korea (1987), Malaysia (2011), Monaco (2008), Mongolia (2015), Pakistan (2012), Papua New Guinea (1981), Portugal (2010), Romania (1971), Slovakia (1962/1993), Switzerland (1990), Turkey (1996), and Venezuela (1999); note - Czechoslovakia acceded to the Treaty in 1962 and separated into the Czech Republic and Slovakia in 1993; Article 1 - area to be used for peaceful purposes only; military activity, such as weapons testing, is prohibited, but military personnel and equipment may be used for scientific research or any other peaceful purpose; Article 2 - freedom of scientific investigation and cooperation shall continue; Article 3 - free exchange of information and personnel, cooperation with the UN and other international agencies; Article 4 - does not recognize, dispute, or establish territorial claims and no new claims shall be asserted while the treaty is in force; Article 5 - prohibits nuclear explosions or disposal of radioactive wastes;Article 6 - includes under the treaty all land and ice shelves south of 60 degrees 00 minutes south and reserves high seas rights; Article 7 - treaty-state observers have free access, including aerial observation, to any area and may inspect all stations, installations, and equipment; advance notice of all expeditions and of the introduction of military personnel must be given; Article 8 - allows for jurisdiction over observers and scientists by their own states; Article 9 - frequent consultative meetings take place among member nations; Article 10 - treaty states will discourage activities by any country in Antarctica that are contrary to the treaty; Article 11 - disputes to be settled peacefully by the parties concerned or, ultimately, by the ICJ; Articles 12, 13, 14 - deal with upholding, interpreting, and amending the treaty among involved nations; other agreements - some 200 measures adopted at treaty consultative meetings and approved by governments; the Protocol on Environmental Protection to the Antarctic Treaty was signed 4 October 1991 and entered into force 14 January 1998; this agreement provides for the protection of the Antarctic environment and includes five annexes that have entered into force: 1) environmental impact assessment, 2) conservation of Antarctic fauna and flora, 3) waste disposal and waste management, 4) prevention of marine pollution, 5) area protection and management; a sixth annex addressing liability arising from environmental emergencies has yet to enter into force; the Protocol prohibits all activities relating to mineral resources except scientific research; a permanent Antarctic Treaty Secretariat was established in 2004 in Buenos Aires, Argentina","Antarctica is administered through annual meetings - known as Antarctic Treaty Consultative Meetings - which include consultative member nations, non-consultative member nations, observer organizations, and expert organizations; decisions from these meetings are carried out by these member nations (with respect to their own nationals and operations) in accordance with their own national laws; more generally, the Antarctic Treaty area, that is to all areas between 60 and 90 degrees south latitude, is subject to a number of relevant legal instruments and procedures adopted by the states party to the Antarctic Treaty; note - US law, including certain criminal offenses by or against US nationals, such as murder, may apply extraterritoriality; some US laws directly apply to Antarctica; for example, the Antarctic Conservation Act, 16 U.S.C. section 2401 et seq., provides civil and criminal penalties for the following activities unless authorized by regulation or statute: the taking of native mammals or birds; the introduction of nonindigenous plants and animals; entry into specially protected areas; the discharge or disposal of pollutants; and the importation into the US of certain items from Antarctica; violation of the Antarctic Conservation Act carries penalties of up to $10,000 in fines and one year in prison; the National Science Foundation and Department of Justice share enforcement responsibilities; Public Law 95-541, the US Antarctic Conservation Act of 1978, as amended in 1996, requires expeditions from the US to Antarctica to notify, in advance, the Office of Oceans and Polar Affairs, Room 2665, Department of State, Washington, DC 20520, which reports such plans to other nations as required by the Antarctic Treaty; for more information, contact antarctica@state.gov",,,,,100.0,,,"['the Antarctic Treaty freezes, and most states do not recognize, the land and maritime territorial claims made by Argentina, Australia, Chile, France, New Zealand, Norway, and the UK (some overlapping) for three-fourths of the continent', 'the US and Russia reserve the right to make claims']"
Antigua And Barbuda,tropical maritime; little seasonal temperature variation,"['NEGL', 'pleasant climate fosters tourism']",the island of Antigua is home to approximately 97% of the population; nearly the entire population of Barbuda lives in Codrington,2.1,22.52,16.15,41.68,10.74,8.91,"[{'name': 'English', 'note': 'official'}, {'name': 'Antiguan creole'}]",parliamentary democracy under a constitutional monarchy; a Commonwealth realm,common law based on the English model,194.0,120.0,97.4,177.0,76.0,190.0,,['none']
