country,year,region,protest,protestnumber,startday,startmonth,startyear,endday,endmonth,endyear,protesterviolence,location,participants,protesteridentity,sources,notes,final,ignore,crowd dispersal,arrests,accomodation,shootings,beatings,killings,"political behavior, process",labor wage dispute,"price increases, tax policy",removal of politician,police brutality,land farm issue,social restrictions,climate,natural_resources,population_distribution,net_migration_per_1000_population,age_0_14_percent,age_15_24_percent,age_25_54_percent,age_55_64_percent,age_65_over_percent,language,govt_type,legal_system,gdp_purchasing_power_global_rank,gdp_growth_global_rank,electricity_access_percent,electricity_generating_capacity_global_rank,internet_access_percent,cell_phone_per_100,military_spending_annual_percent_gdp,transnational_disputes
Morocco,1990,MENA,1,1,14.0,12.0,1990.0,15.0,12.0,1990.0,1.0,Fez,1000,students,"33 dead in 2 day riot in morocco fed by frustration over economy. the new york times, december 17, 1990, monday, late edition final, section a; page 8; column 3; foreign desk;","at least 33 people were killed in two days of rioting over the weekend in this old moroccan city, hospital and morgue officials said today. the official toll, made public today after the second day of rioting, said 5 people had died and 127 were wounded. but hospital and morgue records reported that 13 people died on friday and 20 on saturday. most of the dead brought in on saturday were soldiers, the officials said... rioting erupted during a general strike called to back a list of demands, including a doubling of the minimum wage. during the violence, thousands of people rampaged through the streets, buildings were set afire, guests and staffers were plucked from a burning five star hotel, and cars, buses, banks and shops were attacked.",arrests,0,0,1,0,0,0,0,0,0,1,0,0,0,0,"Mediterranean, becoming more extreme in the interior",phosphates,the highest population density is found along the Atlantic and Mediterranean coasts; a number of densely populated agglomerations are found scattered through the Atlas Mountains,-1.9,27.04,16.55,40.64,8.67,7.11,Arabic,parliamentary constitutional monarchy,mixed legal system of civil law based on French civil law and Islamic (sharia) law; judicial review of legislative acts by Constitutional Court,57.0,74.0,100.0,68.0,64.8,128.0,3.1,claims and administers Western Sahara whose sovereignty remains unresolved
Morocco,1991,MENA,1,1,3.0,2.0,1991.0,3.0,2.0,1991.0,0.0,Rabat,300000,muslim fundamentalists & opposition parties,"war in the gulf; huge morocco march supports iraq in war. the new york times, february 4, 1991, monday, late edition final, section a; page 9; column 5; foreign desk;",opposition to moroccan assistance in gulf war,ignore,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"Mediterranean, becoming more extreme in the interior",phosphates,the highest population density is found along the Atlantic and Mediterranean coasts; a number of densely populated agglomerations are found scattered through the Atlas Mountains,-1.9,27.04,16.55,40.64,8.67,7.11,Arabic,parliamentary constitutional monarchy,mixed legal system of civil law based on French civil law and Islamic (sharia) law; judicial review of legislative acts by Constitutional Court,57.0,74.0,100.0,68.0,64.8,128.0,3.1,claims and administers Western Sahara whose sovereignty remains unresolved
Morocco,1994,MENA,1,1,9.0,2.0,1994.0,9.0,2.0,1994.0,1.0,Fez,100,muslim fundamentalists,"riot deaths as hassan faces challenge. the sunday times london , february 20, 1994, sunday, overseas news;",riots have broken out in the moroccan city of fez in the first violent challenge by islamic fundamentalists to the rule of king hassan. anti riot squads patrolled the university campus in fez last week after the previously unreported clashes. witnesses believe at least seven people were killed. hundreds of youths flooded in from the neighbouring towns of oujda and meknes when the riots broke out 11 days ago; 26 people were jailed.,arrests,0,0,1,0,0,0,0,1,0,0,0,0,0,0,"Mediterranean, becoming more extreme in the interior",phosphates,the highest population density is found along the Atlantic and Mediterranean coasts; a number of densely populated agglomerations are found scattered through the Atlas Mountains,-1.9,27.04,16.55,40.64,8.67,7.11,Arabic,parliamentary constitutional monarchy,mixed legal system of civil law based on French civil law and Islamic (sharia) law; judicial review of legislative acts by Constitutional Court,57.0,74.0,100.0,68.0,64.8,128.0,3.1,claims and administers Western Sahara whose sovereignty remains unresolved
Morocco,1998,MENA,1,1,26.0,10.0,1998.0,26.0,10.0,1998.0,1.0,Rabat,3000,unemployed grads,"morocco: protesters banned. the gazette montreal, quebec , october 27, 1998, tuesday, final edition, news; world briefs; pg. b6;","riot police charged 300 unemployed moroccan college graduates who defied a protest ban and gathered outside parliament yesterday to press their demand for jobs. at least 12 people were injured and 28 arrested in the melee, police sources said on condition of anonymity. in all, more than 3,000 people took part in protests across the capital, rabat, the police sources said.",arrests,0,0,1,0,0,0,0,0,0,1,0,0,0,0,"Mediterranean, becoming more extreme in the interior",phosphates,the highest population density is found along the Atlantic and Mediterranean coasts; a number of densely populated agglomerations are found scattered through the Atlas Mountains,-1.9,27.04,16.55,40.64,8.67,7.11,Arabic,parliamentary constitutional monarchy,mixed legal system of civil law based on French civil law and Islamic (sharia) law; judicial review of legislative acts by Constitutional Court,57.0,74.0,100.0,68.0,64.8,128.0,3.1,claims and administers Western Sahara whose sovereignty remains unresolved
Morocco,2000,MENA,1,1,13.0,3.0,2000.0,13.0,3.0,2000.0,0.0,Casablanca,200000,islamic group justice and charity,"moroccans and women: two rallies. the new york times, march 13, 2000, monday, late edition final, section a; page 8; column 4; foreign desk;","hundreds of thousands of people took to the streets of two moroccan cities today in rival demonstrations over a government plan that would grant more rights to women... in casablanca, officials said that at least 200,000 people twice that, according to observers demonstrated against the plan, which would offer women greater educational opportunities and help those going through divorce.",ignore,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"Mediterranean, becoming more extreme in the interior",phosphates,the highest population density is found along the Atlantic and Mediterranean coasts; a number of densely populated agglomerations are found scattered through the Atlas Mountains,-1.9,27.04,16.55,40.64,8.67,7.11,Arabic,parliamentary constitutional monarchy,mixed legal system of civil law based on French civil law and Islamic (sharia) law; judicial review of legislative acts by Constitutional Court,57.0,74.0,100.0,68.0,64.8,128.0,3.1,claims and administers Western Sahara whose sovereignty remains unresolved
Morocco,2000,MENA,1,2,13.0,3.0,2000.0,13.0,3.0,2000.0,0.0,Rabat,200000,women s human rights groups,"moroccans and women: two rallies. the new york times, march 13, 2000, monday, late edition final, section a; page 8; column 4; foreign desk;","hundreds of thousands of people took to the streets of two moroccan cities today in rival demonstrations over a government plan that would grant more rights to women. in the capital, rabat, between 200,000 and 300,000 people representing women s groups, human rights movements and political parties marched in support of the plan, some chanting, no to reactionaries. at least six government ministers took part in the march, which ended with a concert.",ignore,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"Mediterranean, becoming more extreme in the interior",phosphates,the highest population density is found along the Atlantic and Mediterranean coasts; a number of densely populated agglomerations are found scattered through the Atlas Mountains,-1.9,27.04,16.55,40.64,8.67,7.11,Arabic,parliamentary constitutional monarchy,mixed legal system of civil law based on French civil law and Islamic (sharia) law; judicial review of legislative acts by Constitutional Court,57.0,74.0,100.0,68.0,64.8,128.0,3.1,claims and administers Western Sahara whose sovereignty remains unresolved
Morocco,2000,MENA,1,3,9.0,12.0,2000.0,10.0,12.0,2000.0,1.0,Rabat,800,islamic group justice and charity,"1 morocco arrests dozens of rights protesters. the new york times, december 11, 2000, monday, late edition final, section a; page 10; column 4; foreign desk; 2 cool king on a hot throne. christian science monitor boston, ma , december ;","the riot police arrested dozens of peaceful protesters today who were demanding the legalization of their muslim fundamentalist group and an end to a ban on their newspapers, which has been in place for more than a decade. less than 24 hours after a similar police action in which 41 human rights campaigners were arrested, reuters correspondents saw police squads fiercely beating scores of young protesters and arresting dozens of them aged between 19 and 24.",arrests,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Mediterranean, becoming more extreme in the interior",phosphates,the highest population density is found along the Atlantic and Mediterranean coasts; a number of densely populated agglomerations are found scattered through the Atlas Mountains,-1.9,27.04,16.55,40.64,8.67,7.11,Arabic,parliamentary constitutional monarchy,mixed legal system of civil law based on French civil law and Islamic (sharia) law; judicial review of legislative acts by Constitutional Court,57.0,74.0,100.0,68.0,64.8,128.0,3.1,claims and administers Western Sahara whose sovereignty remains unresolved
Morocco,2010,MENA,1,1,8.0,11.0,2010.0,8.0,11.0,2010.0,1.0,Laayoune,12000,sahrawis frente polisario,"inquiry in w. saharan clashes is requested. the washington post, november 16, 2010 tuesday, a section; pg. a14;","western sahara s national liberation movement demanded monday that the u.n. security council launch a probe into clashes last week between moroccan authorities and western saharan protesters, arguing that it is essential to establish an authoritative account of the most violent episode in years in the disputed territory. the move comes one week after moroccan authorities bulldozed a temporary encampment that housed 12,000 to 20,000 saharawi protesters on the outskirts of laayoune. the authorities blasted the compound with water canons and severely beat protesters, triggering anti moroccan riots and reprisal attacks by moroccan security officials against civilians.",killings,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"Mediterranean, becoming more extreme in the interior",phosphates,the highest population density is found along the Atlantic and Mediterranean coasts; a number of densely populated agglomerations are found scattered through the Atlas Mountains,-1.9,27.04,16.55,40.64,8.67,7.11,Arabic,parliamentary constitutional monarchy,mixed legal system of civil law based on French civil law and Islamic (sharia) law; judicial review of legislative acts by Constitutional Court,57.0,74.0,100.0,68.0,64.8,128.0,3.1,claims and administers Western Sahara whose sovereignty remains unresolved
Morocco,2011,MENA,1,1,20.0,2.0,2011.0,20.0,2.0,2011.0,1.0,National,5000,protesters,"in morocco, fears of chaos temper calls for change the new york times, february 21, 2011 monday, section a; column 0; foreign desk; pg. 8, 971 words, by steven erlanger protests in kingdom that has been curbing abuses the times london , february 21, 2011 monday, news; pg. 7, 254 words, charles bremner bad timing: royal couple caught up in a revolution the times london , april 5, 2011 tuesday, news; pg. 14, 511 words;",the king accomodates in april,ignore,1,1,0,1,0,0,0,1,0,0,1,0,0,0,"Mediterranean, becoming more extreme in the interior",phosphates,the highest population density is found along the Atlantic and Mediterranean coasts; a number of densely populated agglomerations are found scattered through the Atlas Mountains,-1.9,27.04,16.55,40.64,8.67,7.11,Arabic,parliamentary constitutional monarchy,mixed legal system of civil law based on French civil law and Islamic (sharia) law; judicial review of legislative acts by Constitutional Court,57.0,74.0,100.0,68.0,64.8,128.0,3.1,claims and administers Western Sahara whose sovereignty remains unresolved
Morocco,2011,MENA,1,2,24.0,4.0,2011.0,24.0,4.0,2011.0,0.0,National,1000s,protesters,"mideast and african turmoil the new york times, april 25, 2011 monday, section a; column 0; foreign desk; pg. 9, 269 words;",several thousand protesters staged demonstrations in cities around the country to demand more political changes.,ignore,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"Mediterranean, becoming more extreme in the interior",phosphates,the highest population density is found along the Atlantic and Mediterranean coasts; a number of densely populated agglomerations are found scattered through the Atlas Mountains,-1.9,27.04,16.55,40.64,8.67,7.11,Arabic,parliamentary constitutional monarchy,mixed legal system of civil law based on French civil law and Islamic (sharia) law; judicial review of legislative acts by Constitutional Court,57.0,74.0,100.0,68.0,64.8,128.0,3.1,claims and administers Western Sahara whose sovereignty remains unresolved
