,country,year,region,protest,protestnumber,startday,startmonth,startyear,endday,endmonth,endyear,protesterviolence,location,participants,protesteridentity,sources,notes,final,ignore,crowd dispersal,arrests,accomodation,shootings,beatings,killings,"political behavior, process",labor wage dispute,"price increases, tax policy",removal of politician,police brutality,land farm issue,social restrictions
1090,Colombia,1990,South America,1,1,13.0,2.0,1990.0,13.0,2.0,1990.0,0.0,cartagena,5000,workers,"xinhua general news service, february 14, 1990, wednesday, 5,000 workers demonstrate in colombia ;","on the eve of the anti drug summit to be attended by three latin american presidents and u.s. president george bush, some 5,000 protesting workers took to the streets tuesday, one day before the nationwide protest had been scheduled. the workers, all affiliated to the country s four most important trade unions, moved up the scheduled day of protest due to new security measures adopted by colombian authorities that prohibit all types of demonstrations after 24:00 wednesday, the day of the presidential summit. one of the protest organizers said the demonstration aimed to protest the government s wage policy and the high cost of living.",ignore,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1091,Colombia,1990,South America,1,2,14.0,2.0,1990.0,15.0,2.0,1990.0,0.0,national level,1000,workers and students,"bbc summary of world broadcasts, february 16, 1990, friday, part 4 the middle east, africa and latin america, colombia workers protest against bush visit; policemen killed ; bbc summary of world broadcasts, february 17, 1990, saturday, part 4;",against u.s. president bush s visit,crowd dispersal,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1092,Colombia,1990,South America,1,3,13.0,4.0,1990.0,13.0,4.0,1990.0,0.0,medellin,3000,catholics,"xinhua general news service, april 14, 1990, saturday, latin american news briefs ;",against drug related violence,ignore,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1093,Colombia,1990,South America,1,4,1.0,9.0,1990.0,1.0,9.0,1990.0,0.0,bogota,15000,employees of telecommunications company telecom,"xinhua general news service, september 1, 1990, saturday, colombia s telecom employees protest over anti monopoly decree ;","some 15,000 employees of colombia s telecommunications company telecom marched through the streets of bogota today in protest against the government s attempt to break up the state owned monopoly. during the march employees put placards on trees and shouted anti government slogans. the march resulted in a several hour suspension of long distance telephone and international telegram services and disruption of national and international shortwave communication. the new administration s communications ministry had issued a decree to break up the monopoly to make way for privatization and foreign investment in the industry. responding to the protests, the ministry said the government would not back down on the decree as it did not affect the rights of the workers.",ignore,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1094,Colombia,1990,South America,1,5,11.0,9.0,1990.0,11.0,9.0,1990.0,0.0,national level,14000,banana workers,"christian science monito, september 13, 1990, thursday, news currents; pg. 2, latin america ;",general strike,ignore,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1095,Colombia,1990,South America,1,6,4.0,10.0,1990.0,4.0,10.0,1990.0,0.0,national level  strike  and Bogota  demonstration,10000,workers,"xinhua general news service, october 5, 1990, friday, colombian workers march against government reforms ;",general strike and demonstration,ignore,1,0,0,0,0,0,0,1,0,1,0,0,0,0
1096,Colombia,1991,South America,1,1,13.0,8.0,1991.0,14.0,8.0,1991.0,0.0,national level,200000,teachers,"xinhua general news service, august 14, 1991, wednesday, colombian state teachers start 48 hour strike ;",general strike,accomodation,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1097,Colombia,1991,South America,1,2,24.0,8.0,1991.0,24.0,8.0,1991.0,0.0,southwestern Colombia,30000,farm workers,"agence france presse, august 25, 1991, news, thousands block colombian highway demanding basic needs from government ;",blocking roads,ignore,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1098,Colombia,1991,South America,1,3,30.0,9.0,1991.0,30.0,9.0,1991.0,0.0,national level,30000,court employees,"the independent, september 30, 1991, monday, foreign news page; page 11, judges strike ;",general strike for better protection,ignore,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1099,Colombia,1991,South America,1,4,17.0,10.0,1991.0,17.0,10.0,1991.0,0.0,national level,400000,state workers,"xinhua general news service, october 17, 1991, thursday, colombian state workers strike against mass layoffs ;",general strike,ignore,1,0,0,0,0,0,0,1,0,0,0,0,0,0
